dish_id,dish_name,dish_size,unit,price,category,location
71,KOREAN FRIED CHICKEN BURGER,550,g,47.99,Menu główne,Warszawa_Chmielna
72,MARGHERITA,38,cm,34.99,Menu główne,Warszawa_Chmielna
73,TARTUFO & SWEET POTATO CHIPS,38,cm,38.99,Menu główne,Warszawa_Chmielna
74,BURRATA & COTTO,38,cm,48.99,Menu główne,Warszawa_Chmielna
75,NDUJA & CARAMELIZED ONION,38,cm,52.99,Menu główne,Warszawa_Chmielna
76,TARTUFO & COTTO BIANCA,38,cm,49.99,Menu główne,Warszawa_Chmielna
77,SALAMI & CHILLI HONEY,38,cm,48.99,Menu główne,Warszawa_Chmielna
78,KIMCHI PIZZA,38,cm,47.99,Menu główne,Warszawa_Chmielna
79,PROSCIUTTO CRUDO,38,cm,49.99,Menu główne,Warszawa_Chmielna
80,QUATTRO FROMAGGI,38,cm,44.99,Menu główne,Warszawa_Chmielna
81,AïOLI SEASONAL STEAK,450,g,145.99,Menu główne,Warszawa_Chmielna
82,CLASSIC NY STEAK,450,g,85.99,Menu główne,Warszawa_Chmielna
83,GREEN PEPPER STEAK,420,g,89.99,Menu główne,Warszawa_Chmielna
84,SURF & TURF 2.0,525,g,97.99,Menu główne,Warszawa_Chmielna
85,HACHE STEAK,500,g,75.99,Menu główne,Warszawa_Chmielna
86,CHICKEN & PESTO MAFALDINE,300,g,46.99,Menu główne,Warszawa_Chmielna
87,SALVIA BUTTER RAVIOLI,190,g,44.99,Menu główne,Warszawa_Chmielna
88,GREEN UDON,390,g,42.99,Menu główne,Warszawa_Chmielna
89,GNOCCHI AL TARTUFO,380,g,39.99,Menu główne,Warszawa_Chmielna
90,TAGLIOLINI & SHRIMPS,364,g,56.99,Menu główne,Warszawa_Chmielna
91,CAESAR,620,G,34.99,Menu główne,Warszawa_Chmielna
92,PASTRAMI SALAD,370,g,45.99,Menu główne,Warszawa_Chmielna
93,AïOLI BREAKKIE PIZZA,28,cm,32.99,Śniadania,Warszawa_Chmielna
94,AïOLI BREAKKIE PIZZA VEGE,28,cm,28.99,Śniadania,Warszawa_Chmielna
95,TRUFFLE SCRAMBLE TOAST,310,g,29.99,Śniadania,Warszawa_Chmielna
96,TURKISH EGGS,340,g,32.99,Śniadania,Warszawa_Chmielna
97,BACON SANDWICH,400,g,34.99,Śniadania,Warszawa_Chmielna
98,ENGLISH BREAKFAST,550,g,38.99,Śniadania,Warszawa_Chmielna
99,HUEVOS RANCHEROS,430,g,36.99,Śniadania,Warszawa_Chmielna
100,SALMON TOAST,310,g,42.99,Śniadania,Warszawa_Chmielna
101,AVOCADO TOAST,330,g,34.99,Śniadania,Warszawa_Chmielna
102,BENEDICT ALLA CRISPY PROSCIUTTO,315,g,35.99,Śniadania,Warszawa_Chmielna
103,SYRNIKI VANILLA & RHUBARB,385,g,34.99,Śniadania,Warszawa_Chmielna
104,AïOLI BEEF TATAR 2.0,350,,45.99,Menu główne,Gdańsk
105,AïOLI VEGE TATAR,330,g,37.99,Menu główne,Gdańsk
106,SWEET POTATO CHIPS,125,g,29.99,Menu główne,Gdańsk
107,ROASTED CABBAGE,300,g,32.99,Menu główne,Gdańsk
108,TEMPURA CRISPY WINGS,450,g,39.99,Menu główne,Gdańsk
109,LOADED FRIES & BEEF BITES,225,g,42.99,Menu główne,Gdańsk
110,BLACK GARLIC SHRIMPS,220,g,52.99,Menu główne,Gdańsk
111,BUTTER WINE SHRIMPS,220,g,49.99,Menu główne,Gdańsk
112,KATAIFI SHRIMPS,230,g,52.99,Menu główne,Gdańsk
113,AïOLI SHARING MEAT,600,g,79.99,Menu główne,Gdańsk
114,AïOLI SHARING VEGE,540,g,59.99,Menu główne,Gdańsk
115,AïOLI SHARING SEAFOOD,570,g,129.99,Menu główne,Gdańsk
116,CREMA DI POMODORO,450,g,22.99,Menu główne,Gdańsk
117,ZUPA DNIA,450,ml,22.99,Menu główne,Gdańsk
118,AïOLI BURGER,520,g,49.99,Menu główne,Gdańsk
119,SMASH BURGER,310,g,46.99,Menu główne,Gdańsk
120,PHILLY CHEESESTEAK BURGER,600,g,59.99,Menu główne,Gdańsk
121,REUBEN SANDWICH,520,g,52.99,Menu główne,Gdańsk
122,KOREAN FRIED CHICKEN BURGER,550,g,47.99,Menu główne,Gdańsk
123,MARGHERITA,38,cm,34.99,Menu główne,Gdańsk
124,TARTUFO & SWEET POTATO CHIPS,38,cm,38.99,Menu główne,Gdańsk
